player,season,nation,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves,prev_1_rating,prev_2_rating,rating_change_1yr,rolling_avg_3yr,Goals_per_90,Assists_per_90,Expected Goals_per_90,Progressive Passes_per_90,Tackles Won_per_90,Interceptions_per_90,Saves_per_90,age_squared,pos_DF,pos_FW,pos_GK,pos_MF,next_season_rating
Harvey Barnes,2020,England,22,25,1945.0,6.86,9,4,5.9,56,9,8,0,6.81,6.86,-0.05000000000000071,6.843333333333334,0.41645244215938304,0.18508997429305912,0.27300771208226227,2.591259640102828,0.41645244215938304,0.37017994858611825,0.0,484,False,True,False,False,6.79
Harvey Barnes,2021,England,23,32,2101.0,6.79,6,10,5.6,59,16,5,0,6.86,6.81,0.05000000000000071,6.82,0.25702046644455023,0.4283674440742503,0.2398857686815802,2.527367920038077,0.6853879105188005,0.21418372203712516,0.0,529,False,True,False,False,6.67
Harvey Barnes,2022,England,24,34,2711.0,6.67,13,1,8.9,79,14,8,0,6.79,6.86,-0.07000000000000028,6.773333333333333,0.4315750645518259,0.033198081888601995,0.29546292880855773,2.6226484691995573,0.46477314644042783,0.26558465510881596,0.0,576,False,True,False,False,7.0
Hassane Kamara,2018,Ivory Coast,24,16,926.0,6.81,0,0,0.9,31,21,14,0,,,,6.81,0.0,0.0,0.08747300215982722,3.0129589632829377,2.041036717062635,1.3606911447084233,0.0,576,True,False,False,False,7.15
Hassane Kamara,2019,Ivory Coast,25,23,1709.0,7.15,2,0,1.9,81,47,58,0,6.81,,,6.98,0.1053247513165594,0.0,0.10005851375073142,4.265652428320656,2.475131655939146,3.0544177881802224,0.0,625,True,False,False,False,6.970000000000001
Hassane Kamara,2020,Ivory Coast,26,36,2960.0,6.970000000000001,2,1,1.4,142,39,55,0,7.15,6.81,0.34000000000000075,6.976666666666667,0.060810810810810814,0.030405405405405407,0.04256756756756757,4.3175675675675675,1.185810810810811,1.6722972972972974,0.0,676,True,False,False,False,6.83
Hassane Kamara,2021,Ivory Coast,27,30,1083.5,6.83,1,0,1.3,67,44,78,0,6.970000000000001,7.15,-0.17999999999999972,6.983333333333334,0.08306414397784956,0.0,0.10798338717120443,5.56529764651592,3.6548223350253806,6.479003230272267,0.0,729,True,False,False,False,6.81
Helibelton Palacios,2020,Colombia,27,11,743.0,6.665029224602583,0,0,0.0,21,10,5,0,,,,6.665029224602583,0.0,0.0,0.0,2.5437415881561236,1.2113055181695829,0.6056527590847914,0.0,729,True,False,False,False,6.83
Helibelton Palacios,2021,Colombia,28,26,1931.0,6.83,0,0,0.1,52,38,18,0,6.665029224602583,,,6.747514612301291,0.0,0.0,0.004660797514241326,2.4236147074054895,1.771103055411704,0.8389435525634387,0.0,784,True,False,False,False,6.629999999999999
Henrikh Mkhitaryan,2017,Armenia,28,26,858.0,7.12,3,9,2.3,116,24,15,0,,,,7.12,0.3146853146853147,0.9440559440559441,0.24125874125874125,12.167832167832168,2.5174825174825175,1.5734265734265735,0.0,784,False,True,False,False,7.02
Henrikh Mkhitaryan,2018,Armenia,29,25,1641.0,7.02,6,4,5.0,107,22,16,0,7.12,,,7.07,0.3290676416819013,0.2193784277879342,0.2742230347349177,5.86837294332724,1.206581352833638,0.8775137111517368,0.0,841,False,True,False,False,7.13
Henrikh Mkhitaryan,2019,Armenia,30,25,821.0,7.13,9,5,6.0,101,22,11,0,7.02,7.12,-0.10000000000000053,7.09,0.9866017052375152,0.5481120584652862,0.6577344701583434,11.071863580998782,2.4116930572472595,1.2058465286236297,0.0,900,False,True,False,False,7.4
